ASIN,URL_USA,URL_Canada,Price_USA,Price_Canada,Profit($),Profit_Percentage(%)
B01N9PZ5CK,https://www.amazon.com/dp/B01N9PZ5CK,https://www.amazon.ca/dp/B01N9PZ5CK,21.75,29.99,8.24,37.89
B010S7VZI0,https://www.amazon.com/dp/B010S7VZI0,https://www.amazon.ca/dp/B010S7VZI0,89.99,123.98,33.99,37.77
B079BB71YR,https://www.amazon.com/dp/B079BB71YR,https://www.amazon.ca/dp/B079BB71YR,16.99,23.39,6.4,37.67
B01IRHUV6A,https://www.amazon.com/dp/B01IRHUV6A,https://www.amazon.ca/dp/B01IRHUV6A,23.99,32.99,9.0,37.52
B09ZY9N6PD,https://www.amazon.com/dp/B09ZY9N6PD,https://www.amazon.ca/dp/B09ZY9N6PD,9.99,13.67,3.68,36.84
B007JCHA6E,https://www.amazon.com/dp/B007JCHA6E,https://www.amazon.ca/dp/B007JCHA6E,18.99,25.98,6.99,36.81
B0BLHJSPHW,https://www.amazon.com/dp/B0BLHJSPHW,https://www.amazon.ca/dp/B0BLHJSPHW,21.97,29.99,8.02,36.5
B07XGKZ2RC,https://www.amazon.com/dp/B07XGKZ2RC,https://www.amazon.ca/dp/B07XGKZ2RC,21.98,29.98,8.0,36.4
B01G3WS3PW,https://www.amazon.com/dp/B01G3WS3PW,https://www.amazon.ca/dp/B01G3WS3PW,21.99,29.99,8.0,36.38
B07MF18JHT,https://www.amazon.com/dp/B07MF18JHT,https://www.amazon.ca/dp/B07MF18JHT,21.99,29.99,8.0,36.38
B09ZKYQMVD,https://www.amazon.com/dp/B09ZKYQMVD,https://www.amazon.ca/dp/B09ZKYQMVD,24.99,33.99,9.0,36.01
B0CP8BPXKR,https://www.amazon.com/dp/B0CP8BPXKR,https://www.amazon.ca/dp/B0CP8BPXKR,129.95,175.95,46.0,35.4
B08HN63XK9,https://www.amazon.com/dp/B08HN63XK9,https://www.amazon.ca/dp/B08HN63XK9,19.98,26.99,7.01,35.09
B00314WHW6,https://www.amazon.com/dp/B00314WHW6,https://www.amazon.ca/dp/B00314WHW6,9.99,13.49,3.5,35.04
B00U6HREPQ,https://www.amazon.com/dp/B00U6HREPQ,https://www.amazon.ca/dp/B00U6HREPQ,19.99,26.99,7.0,35.02
B0C1MPDTG7,https://www.amazon.com/dp/B0C1MPDTG7,https://www.amazon.ca/dp/B0C1MPDTG7,107.27,143.99,36.72,34.23
B07L5D3QQ8,https://www.amazon.com/dp/B07L5D3QQ8,https://www.amazon.ca/dp/B07L5D3QQ8,9.99,13.4,3.41,34.13
B09D8T11YS,https://www.amazon.com/dp/B09D8T11YS,https://www.amazon.ca/dp/B09D8T11YS,9.99,13.39,3.4,34.03
B00I7L6JC2,https://www.amazon.com/dp/B00I7L6JC2,https://www.amazon.ca/dp/B00I7L6JC2,8.97,11.99,3.02,33.67
B096DVV5XH,https://www.amazon.com/dp/B096DVV5XH,https://www.amazon.ca/dp/B096DVV5XH,14.99,19.99,5.0,33.36
B0C9DYFK8J,https://www.amazon.com/dp/B0C9DYFK8J,https://www.amazon.ca/dp/B0C9DYFK8J,14.99,19.99,5.0,33.36
B0BHBP1X1B,https://www.amazon.com/dp/B0BHBP1X1B,https://www.amazon.ca/dp/B0BHBP1X1B,29.99,39.99,10.0,33.34
B07PPCRVZ9,https://www.amazon.com/dp/B07PPCRVZ9,https://www.amazon.ca/dp/B07PPCRVZ9,29.99,39.99,10.0,33.34
B098D79MQB,https://www.amazon.com/dp/B098D79MQB,https://www.amazon.ca/dp/B098D79MQB,8.99,11.98,2.99,33.26
B0738C7RXF,https://www.amazon.com/dp/B0738C7RXF,https://www.amazon.ca/dp/B0738C7RXF,10.98,14.58,3.6,32.79
B094624Q8Z,https://www.amazon.com/dp/B094624Q8Z,https://www.amazon.ca/dp/B094624Q8Z,27.98,36.98,9.0,32.17
B000FZX93K,https://www.amazon.com/dp/B000FZX93K,https://www.amazon.ca/dp/B000FZX93K,35.0,46.0,11.0,31.43
B0BNYR7MQV,https://www.amazon.com/dp/B0BNYR7MQV,https://www.amazon.ca/dp/B0BNYR7MQV,35.0,46.0,11.0,31.43
B0BLSCY6PR,https://www.amazon.com/dp/B0BLSCY6PR,https://www.amazon.ca/dp/B0BLSCY6PR,25.99,33.99,8.0,30.78
B07C8V4FDR,https://www.amazon.com/dp/B07C8V4FDR,https://www.amazon.ca/dp/B07C8V4FDR,129.95,169.17,39.22,30.18
B01DZQT01U,https://www.amazon.com/dp/B01DZQT01U,https://www.amazon.ca/dp/B01DZQT01U,23.04,29.99,6.95,30.16
B00004OCKT,https://www.amazon.com/dp/B00004OCKT,https://www.amazon.ca/dp/B00004OCKT,9.98,12.99,3.01,30.16
B07YQDH1N1,https://www.amazon.com/dp/B07YQDH1N1,https://www.amazon.ca/dp/B07YQDH1N1,18.44,23.99,5.55,30.1
B00FLYWNYQ,https://www.amazon.com/dp/B00FLYWNYQ,https://www.amazon.ca/dp/B00FLYWNYQ,99.95,129.98,30.03,30.05
B06X9NQ8GX,https://www.amazon.com/dp/B06X9NQ8GX,https://www.amazon.ca/dp/B06X9NQ8GX,12.59,16.33,3.74,29.71
B005W3BR2A,https://www.amazon.com/dp/B005W3BR2A,https://www.amazon.ca/dp/B005W3BR2A,17.0,22.0,5.0,29.41
B0BFSVKNHS,https://www.amazon.com/dp/B0BFSVKNHS,https://www.amazon.ca/dp/B0BFSVKNHS,15.35,19.86,4.51,29.38
B073WJMKHN,https://www.amazon.com/dp/B073WJMKHN,https://www.amazon.ca/dp/B073WJMKHN,35.0,45.0,10.0,28.57
B0714K41PB,https://www.amazon.com/dp/B0714K41PB,https://www.amazon.ca/dp/B0714K41PB,19.99,25.59,5.6,28.01
B07N1JP56L,https://www.amazon.com/dp/B07N1JP56L,https://www.amazon.ca/dp/B07N1JP56L,42.99,54.99,12.0,27.91
B00004SU18,https://www.amazon.com/dp/B00004SU18,https://www.amazon.ca/dp/B00004SU18,17.61,22.49,4.88,27.71
B095KGXPW5,https://www.amazon.com/dp/B095KGXPW5,https://www.amazon.ca/dp/B095KGXPW5,109.99,139.99,30.0,27.28
B07KG2X2GZ,https://www.amazon.com/dp/B07KG2X2GZ,https://www.amazon.ca/dp/B07KG2X2GZ,29.15,36.98,7.83,26.86
B073P4RPFP,https://www.amazon.com/dp/B073P4RPFP,https://www.amazon.ca/dp/B073P4RPFP,16.18,20.4,4.22,26.08
B00004OCJW,https://www.amazon.com/dp/B00004OCJW,https://www.amazon.ca/dp/B00004OCJW,15.87,19.99,4.12,25.96
B07SRV3SN8,https://www.amazon.com/dp/B07SRV3SN8,https://www.amazon.ca/dp/B07SRV3SN8,23.98,29.99,6.01,25.06
B0C913XXP1,https://www.amazon.com/dp/B0C913XXP1,https://www.amazon.ca/dp/B0C913XXP1,19.95,24.95,5.0,25.06
B01KWTGAVQ,https://www.amazon.com/dp/B01KWTGAVQ,https://www.amazon.ca/dp/B01KWTGAVQ,7.59,9.49,1.9,25.03
B08C7MHSTJ,https://www.amazon.com/dp/B08C7MHSTJ,https://www.amazon.ca/dp/B08C7MHSTJ,7.99,9.99,2.0,25.03
B07FXYLZW5,https://www.amazon.com/dp/B07FXYLZW5,https://www.amazon.ca/dp/B07FXYLZW5,9.99,12.49,2.5,25.03
B0BKTM56C3,https://www.amazon.com/dp/B0BKTM56C3,https://www.amazon.ca/dp/B0BKTM56C3,15.99,19.99,4.0,25.02
B07GN22YYR,https://www.amazon.com/dp/B07GN22YYR,https://www.amazon.ca/dp/B07GN22YYR,11.99,14.99,3.0,25.02
B08BQBNXSQ,https://www.amazon.com/dp/B08BQBNXSQ,https://www.amazon.ca/dp/B08BQBNXSQ,39.99,49.99,10.0,25.01
B0C5J931J9,https://www.amazon.com/dp/B0C5J931J9,https://www.amazon.ca/dp/B0C5J931J9,39.99,49.99,10.0,25.01
B088DGBRMC,https://www.amazon.com/dp/B088DGBRMC,https://www.amazon.ca/dp/B088DGBRMC,23.99,29.99,6.0,25.01
B0C5C33WVQ,https://www.amazon.com/dp/B0C5C33WVQ,https://www.amazon.ca/dp/B0C5C33WVQ,27.99,34.99,7.0,25.01
B094NBSRT4,https://www.amazon.com/dp/B094NBSRT4,https://www.amazon.ca/dp/B094NBSRT4,23.99,29.99,6.0,25.01
B082TJ4BP6,https://www.amazon.com/dp/B082TJ4BP6,https://www.amazon.ca/dp/B082TJ4BP6,15.98,19.97,3.99,24.97
B001F0RBT2,https://www.amazon.com/dp/B001F0RBT2,https://www.amazon.ca/dp/B001F0RBT2,14.44,17.99,3.55,24.58
B01DBGQR1K,https://www.amazon.com/dp/B01DBGQR1K,https://www.amazon.ca/dp/B01DBGQR1K,154.95,192.66,37.71,24.34
B08DL8WH9V,https://www.amazon.com/dp/B08DL8WH9V,https://www.amazon.ca/dp/B08DL8WH9V,88.99,109.99,21.0,23.6
B07L8YPYQK,https://www.amazon.com/dp/B07L8YPYQK,https://www.amazon.ca/dp/B07L8YPYQK,16.99,20.99,4.0,23.54
B0BW16XK9Y,https://www.amazon.com/dp/B0BW16XK9Y,https://www.amazon.ca/dp/B0BW16XK9Y,15.74,19.44,3.7,23.51
B07SZFHKVZ,https://www.amazon.com/dp/B07SZFHKVZ,https://www.amazon.ca/dp/B07SZFHKVZ,18.35,22.64,4.29,23.38
B08QXB9BH5,https://www.amazon.com/dp/B08QXB9BH5,https://www.amazon.ca/dp/B08QXB9BH5,199.99,246.67,46.68,23.34
B09NN9JCJL,https://www.amazon.com/dp/B09NN9JCJL,https://www.amazon.ca/dp/B09NN9JCJL,34.99,42.98,7.99,22.84
B0768ZC23W,https://www.amazon.com/dp/B0768ZC23W,https://www.amazon.ca/dp/B0768ZC23W,59.99,73.68,13.69,22.82
B00NESCOY0,https://www.amazon.com/dp/B00NESCOY0,https://www.amazon.ca/dp/B00NESCOY0,21.99,26.99,5.0,22.74
B08DVWWKMF,https://www.amazon.com/dp/B08DVWWKMF,https://www.amazon.ca/dp/B08DVWWKMF,16.99,20.81,3.82,22.48
